task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,bootstrap_ci_lower,bootstrap_ci_upper,ci_excludes_zero,wilcoxon_greater_statistic,wilcoxon_greater_p,ttest_greater_p,cohen_d_vs_zero,wilcoxon_holm_p,wilcoxon_holm_reject_0_05
code_generation,context_injection,10,0.002075,0.010662,-0.003817,0.008682,False,29.0,0.460938,0.276739,0.194633,1.0,False
code_generation,formatting_changes,10,0.004808,0.016313,-0.004598,0.014193,False,36.0,0.21582,0.187828,0.294728,1.0,False
code_generation,paraphrasing,10,0.03456,0.046164,0.011376,0.064679,True,49.0,0.013672,0.021043,0.748644,0.246094,False
code_generation,reordering,10,0.00769,0.020209,-0.004086,0.019268,False,38.0,0.161133,0.129786,0.380504,1.0,False
code_generation,surface_noise,10,0.001728,0.014665,-0.006364,0.010522,False,28.0,0.5,0.359033,0.117828,1.0,False
factual_qa,context_injection,10,-0.005502,0.016638,-0.016444,0.001172,False,9.0,0.623424,0.838529,-0.330701,1.0,False
factual_qa,formatting_changes,10,0.026844,0.065635,-0.00048,0.070261,False,21.0,0.118362,0.114048,0.408996,1.0,False
factual_qa,paraphrasing,10,0.112586,0.099281,0.058831,0.176155,True,54.0,0.001953,0.002937,1.134012,0.039062,True
factual_qa,reordering,10,0.041203,0.06082,0.011378,0.081643,True,41.0,0.014201,0.030397,0.677453,0.246094,False
factual_qa,surface_noise,10,-0.006236,0.019244,-0.018058,0.004235,False,10.0,0.750519,0.833895,-0.324071,1.0,False
math_reasoning,context_injection,10,0.00039,0.027616,-0.011967,0.018804,False,19.0,0.8125,0.482669,0.014129,1.0,False
math_reasoning,formatting_changes,10,-0.001141,0.023136,-0.011909,0.014092,False,12.0,0.947266,0.56026,-0.04933,1.0,False
math_reasoning,paraphrasing,10,0.005822,0.015136,-0.003505,0.013699,False,40.0,0.116211,0.127388,0.384655,1.0,False
math_reasoning,reordering,10,-0.000518,0.02433,-0.013574,0.014706,False,22.0,0.72168,0.526088,-0.021278,1.0,False
math_reasoning,surface_noise,10,-0.006036,0.021087,-0.018799,0.006388,False,11.0,0.958008,0.805505,-0.286223,1.0,False
open_ended_writing,context_injection,10,0.018683,0.038177,-0.002902,0.04195,False,27.0,0.103789,0.078067,0.489381,1.0,False
open_ended_writing,formatting_changes,10,0.002976,0.016395,-0.00685,0.012536,False,17.0,0.306045,0.290037,0.181492,1.0,False
open_ended_writing,paraphrasing,10,0.175192,0.214344,0.055894,0.308182,True,44.0,0.005431,0.014735,0.817342,0.103191,False
open_ended_writing,reordering,10,0.035788,0.123109,-0.012945,0.117236,False,20.0,0.389717,0.190965,0.2907,1.0,False
open_ended_writing,surface_noise,10,0.002013,0.016223,-0.007309,0.011887,False,15.0,0.432886,0.351929,0.124103,1.0,False
