task_type,test,perturbation_1,perturbation_2,n_items,statistic,p_value,p_adj_holm,reject_alpha_0_05
code_generation,wilcoxon_signed_rank_holm,paraphrasing,reordering,10,11.0,0.105469,0.738281,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,10,2.0,0.005859,0.058594,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,context_injection,10,7.0,0.037109,0.296875,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,10,4.0,0.013672,0.123047,False
code_generation,wilcoxon_signed_rank_holm,reordering,formatting_changes,10,20.0,0.492188,1.0,False
code_generation,wilcoxon_signed_rank_holm,reordering,context_injection,10,21.0,0.556641,1.0,False
code_generation,wilcoxon_signed_rank_holm,reordering,surface_noise,10,19.0,0.431641,1.0,False
code_generation,wilcoxon_signed_rank_holm,formatting_changes,context_injection,10,27.0,1.0,1.0,False
code_generation,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,10,21.0,0.556641,1.0,False
code_generation,wilcoxon_signed_rank_holm,context_injection,surface_noise,10,22.0,0.625,1.0,False
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,reordering,10,9.0,0.064453,0.377874,False
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,10,9.0,0.064453,0.377874,False
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,context_injection,10,0.0,0.001953,0.019531,True
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,10,1.0,0.003906,0.035156,True
factual_qa,wilcoxon_signed_rank_holm,reordering,formatting_changes,10,16.0,0.275391,0.550781,False
factual_qa,wilcoxon_signed_rank_holm,reordering,context_injection,10,1.0,0.010862,0.076036,False
factual_qa,wilcoxon_signed_rank_holm,reordering,surface_noise,10,2.0,0.005859,0.046875,True
factual_qa,wilcoxon_signed_rank_holm,formatting_changes,context_injection,10,6.0,0.176296,0.528889,False
factual_qa,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,10,3.0,0.062979,0.377874,False
factual_qa,wilcoxon_signed_rank_holm,context_injection,surface_noise,10,14.0,1.0,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,reordering,10,13.0,0.160156,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,10,13.0,0.160156,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,context_injection,10,16.0,0.275391,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,10,7.0,0.037109,0.371094,False
math_reasoning,wilcoxon_signed_rank_holm,reordering,formatting_changes,10,26.0,0.921875,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,reordering,context_injection,10,26.0,0.921875,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,reordering,surface_noise,10,10.0,0.083984,0.755859,False
math_reasoning,wilcoxon_signed_rank_holm,formatting_changes,context_injection,10,25.0,0.845703,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,10,20.0,0.492188,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,context_injection,surface_noise,10,25.0,0.845703,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,reordering,10,8.0,0.048828,0.341797,False
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,10,1.0,0.010862,0.09776,False
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,context_injection,10,3.0,0.020879,0.167034,False
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,10,0.0,0.007686,0.076858,False
open_ended_writing,wilcoxon_signed_rank_holm,reordering,formatting_changes,10,17.0,0.888638,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,reordering,context_injection,10,15.0,0.374259,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,reordering,surface_noise,10,18.0,1.0,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,formatting_changes,context_injection,10,6.0,0.092892,0.557352,False
open_ended_writing,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,10,12.0,0.735317,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,context_injection,surface_noise,10,8.0,0.161429,0.807147,False
