task_type,perturbation_type,n_items,mean_noise_corrected_drift
code_generation,context_injection,1,0.058139
code_generation,formatting_changes,1,-0.026336
code_generation,paraphrasing,1,0.045541
code_generation,reordering,1,0.026376
code_generation,surface_noise,1,0.003991
factual_qa,context_injection,1,0.158955
factual_qa,formatting_changes,1,0.121992
factual_qa,paraphrasing,1,0.011181
factual_qa,reordering,1,-0.047781
factual_qa,surface_noise,1,-0.014332
math_reasoning,context_injection,1,0.007545
math_reasoning,formatting_changes,1,0.397972
math_reasoning,paraphrasing,1,0.016049
math_reasoning,reordering,1,0.031978
math_reasoning,surface_noise,1,0.003641
open_ended_writing,context_injection,1,0.094259
open_ended_writing,formatting_changes,1,0.033033
open_ended_writing,paraphrasing,1,0.010681
open_ended_writing,reordering,1,0.020246
open_ended_writing,surface_noise,1,0.028888
