model,term,n,r_squared,coef,std_error,p_value,note
minimal_text_driver,const,50,0.1523886425954184,0.0029272249962255283,0.047968103405478475,0.9513397724465013,
minimal_text_driver,output_length_delta_tokens,50,0.1523886425954184,0.00038109507271843893,0.0006739336682344074,0.5717482704589916,
minimal_text_driver,factual_score_delta,50,0.1523886425954184,0.06149962936644343,0.3271683125296246,0.8508958516214538,
minimal_text_driver,question_token_edit_distance_norm,50,0.1523886425954184,0.06780142978942805,0.06292865513935862,0.2812867253881203,
minimal_text_driver,cue_disruption,50,0.1523886425954184,0.10047470149043615,0.07433342065700246,0.17647898254349348,
scope_style,const,50,0.09185475229471185,0.13354578147267954,0.05775916568664374,0.020771396257820738,
scope_style,answer_scope_proxy,50,0.09185475229471185,0.004598140795275138,0.023804959841691554,0.8468344947250579,
scope_style,question_content_recall,50,0.09185475229471185,-0.09417258901575827,0.08533317101701417,0.26977227798555703,
scope_style,question_context_content_overlap_delta,50,0.09185475229471185,0.2081583084081613,0.16146372190408695,0.19733011892595798,
output_distance,const,50,0.3473119502494211,-0.043593918976340705,0.04180762362059657,0.2970749595563572,
output_distance,mean_output_token_edit_distance_norm,50,0.3473119502494211,0.2126068831479698,0.054144058303678015,8.612318961544791e-05,
output_distance,question_token_edit_distance_norm,50,0.3473119502494211,0.011105576463239694,0.06583783046365807,0.8660477390592004,
output_distance,containment_rate_delta,50,0.3473119502494211,-0.009092422311566869,0.04273226107822482,0.8315012694376379,
