task_type,perturbation_type,top_rank_probability,n_bootstraps
code_generation,paraphrasing,0.989,10000
code_generation,reordering,0.0107,10000
code_generation,formatting_changes,0.0,10000
code_generation,context_injection,0.0003,10000
code_generation,surface_noise,0.0,10000
factual_qa,paraphrasing,0.9618,10000
factual_qa,reordering,0.01,10000
factual_qa,formatting_changes,0.0282,10000
factual_qa,context_injection,0.0,10000
factual_qa,surface_noise,0.0,10000
math_reasoning,paraphrasing,0.7595,10000
math_reasoning,reordering,0.0204,10000
math_reasoning,formatting_changes,0.0022,10000
math_reasoning,context_injection,0.2179,10000
math_reasoning,surface_noise,0.0,10000
open_ended_writing,paraphrasing,0.9595,10000
open_ended_writing,reordering,0.0405,10000
open_ended_writing,formatting_changes,0.0,10000
open_ended_writing,context_injection,0.0,10000
open_ended_writing,surface_noise,0.0,10000
