task_type,perturbation_type,n_items,mean_perturbation_similarity,mean_noise_corrected_drift_item,mean_noise_corrected_drift_task
code_generation,context_injection,1,0.700986,0.203247,0.203247
code_generation,formatting,1,0.920194,-0.015961,-0.015961
code_generation,paraphrasing,1,0.952116,-0.047884,-0.047884
code_generation,reordering,1,0.685025,0.219208,0.219208
code_generation,surface_noise,1,0.441273,0.462959,0.462959
factual_qa,context_injection,2,0.694743,-0.012568,-0.012568
factual_qa,formatting,2,0.758965,-0.07679,-0.07679
factual_qa,paraphrasing,2,0.8036,-0.121425,-0.121425
factual_qa,reordering,2,0.781969,-0.099794,-0.099794
factual_qa,surface_noise,2,0.737835,-0.05566,-0.055661
math_reasoning,context_injection,2,0.673237,-0.15487,-0.15487
math_reasoning,formatting,2,0.583579,-0.065212,-0.065212
math_reasoning,paraphrasing,2,0.613876,-0.095508,-0.095508
math_reasoning,reordering,2,0.561387,-0.043019,-0.04302
math_reasoning,surface_noise,2,0.432925,0.085443,0.085443
open_ended_writing,context_injection,1,0.495023,0.064592,0.064592
open_ended_writing,formatting,1,0.495023,0.064592,0.064592
open_ended_writing,paraphrasing,1,0.641818,-0.082204,-0.082204
open_ended_writing,reordering,1,0.70641,-0.146795,-0.146795
open_ended_writing,surface_noise,1,0.495023,0.064592,0.064592
