task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift
code_generation,context_injection,10,0.070422,0.030293
code_generation,formatting_changes,10,0.073155,0.02144
code_generation,paraphrasing,10,0.102908,0.055474
code_generation,reordering,10,0.076037,0.027218
code_generation,surface_noise,10,0.070075,0.030848
factual_qa,context_injection,10,0.042807,0.059592
factual_qa,formatting_changes,10,0.075153,0.107146
factual_qa,paraphrasing,10,0.160896,0.129675
factual_qa,reordering,10,0.089512,0.090179
factual_qa,surface_noise,10,0.042073,0.051642
math_reasoning,context_injection,10,0.086905,0.058744
math_reasoning,formatting_changes,10,0.085373,0.055324
math_reasoning,paraphrasing,10,0.092337,0.043753
math_reasoning,reordering,10,0.085997,0.050762
math_reasoning,surface_noise,10,0.080479,0.047462
open_ended_writing,context_injection,10,0.097173,0.066955
open_ended_writing,formatting_changes,10,0.081465,0.068684
open_ended_writing,paraphrasing,10,0.253682,0.194186
open_ended_writing,reordering,10,0.114277,0.110738
open_ended_writing,surface_noise,10,0.080503,0.069642
