perturbation,task,corrected_pdr,clean_mean,perturbed_mean,sample_noise,n
context_injection,code_generation,-0.11599999999999999,0.512,0.628,0.07119183588453085,50
context_injection,factual_qa,0.001333333333333332,0.98,0.9786666666666666,0.001333333333333332,50
context_injection,math_reasoning,-0.06,0.36800000000000005,0.42800000000000005,0.18458571279792899,50
formatting,code_generation,0.256,0.524,0.268,0.08768673331236262,50
formatting,factual_qa,0.004,0.9773333333333334,0.9733333333333333,0.001632993161855452,50
formatting,math_reasoning,-0.03200000000000001,0.384,0.41600000000000004,0.23137346662472527,50
paraphrase,code_generation,0.10400000000000001,0.516,0.41200000000000003,0.06719183588453084,50
paraphrase,factual_qa,0.0072,0.98,0.9728,0.00440908153700972,50
paraphrase,math_reasoning,0.07200000000000001,0.4,0.32799999999999996,0.1984744871391589,50
reordering,code_generation,-0.04,0.488,0.528,0.07429285639896449,50
reordering,factual_qa,-0.001333333333333332,0.9786666666666666,0.98,0.001333333333333332,50
reordering,math_reasoning,-0.0040000000000000036,0.424,0.428,0.19937346662472524,50
surface_noise,code_generation,-0.044,0.512,0.556,0.07519183588453085,50
surface_noise,factual_qa,-0.001333333333333332,0.9786666666666666,0.98,0.001333333333333332,50
surface_noise,math_reasoning,0.004000000000000006,0.396,0.392,0.20287856919689345,50
