perturbation,task,n,clean_repeated,perturbed_repeated,clean_baseline_loss,perturbed_loss,corrected_pdr,sample_noise,corrected_pdr_pp
context_injection,code_generation,50,0.972,0.968,0.027999999999999997,0.032,0.004,0.02179795897113271,0.4
context_injection,factual_qa,50,0.98,0.9786666666666666,0.02,0.021333333333333333,0.001333333333333332,0.001333333333333332,0.1333333333333332
context_injection,math_reasoning,50,0.856,0.868,0.14400000000000002,0.132,-0.011999999999999997,0.09788877434122992,-1.1999999999999997
formatting,code_generation,50,0.968,0.968,0.032,0.032,0.0,0.013797958971132713,0.0
formatting,factual_qa,50,0.9773333333333334,0.9733333333333333,0.022666666666666665,0.026666666666666665,0.004,0.001632993161855452,0.4
formatting,math_reasoning,50,0.868,0.8759999999999999,0.132,0.12399999999999999,-0.007999999999999997,0.09298979485566355,-0.7999999999999997
paraphrase,code_generation,50,0.976,0.956,0.024,0.044,0.02,0.01779795897113271,2.0
paraphrase,factual_qa,50,0.98,0.9728,0.02,0.0272,0.0072,0.00440908153700972,0.72
paraphrase,math_reasoning,50,0.8759999999999999,0.86,0.12399999999999999,0.13999999999999999,0.015999999999999993,0.1022928563989645,1.5999999999999994
reordering,code_generation,50,0.9640000000000001,0.972,0.036,0.027999999999999997,-0.007999999999999998,0.020898979485566356,-0.7999999999999998
reordering,factual_qa,50,0.9786666666666666,0.98,0.021333333333333333,0.02,-0.001333333333333332,0.001333333333333332,-0.1333333333333332
reordering,math_reasoning,50,0.904,0.88,0.096,0.11999999999999998,0.023999999999999994,0.0982928563989645,2.3999999999999995
surface_noise,code_generation,50,0.976,0.976,0.024,0.024,2.220446049250313e-18,0.016,2.220446049250313e-16
surface_noise,factual_qa,50,0.9786666666666666,0.98,0.021333333333333333,0.02,-0.001333333333333332,0.001333333333333332,-0.1333333333333332
surface_noise,math_reasoning,50,0.884,0.884,0.11599999999999999,0.11599999999999999,-3.3306690738754695e-18,0.09968673331236262,-3.3306690738754696e-16
