task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,5,0.9018891712525884,0.0835036989236951,0.26666666666666666,0.13333333333333333,0.2,0.4
code_generation,2,2,5,0.9244214218082473,0.02853092800520794,0.06666666666666668,0.06666666666666668,0.2,0.2
code_generation,3,3,5,0.934719496967012,0.04661840499881954,0.0,0.0,0.0,0.0
code_generation,4,4,5,0.9598144752922362,0.014829984887212736,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,5,5,5,0.9706108261527365,0.014095247833971952,0.06666666666666668,-0.06666666666666668,0.0,0.2
long_factual_qa,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,1,5,0.9811970275170016,0.003341421631272032,0.08238095238095237,0.055714285714285716,0.4,0.6
long_factual_qa,2,2,5,0.9877026435445191,0.001236128370503929,0.045,-0.045,0.0,0.4
long_factual_qa,3,3,5,0.9874178025833839,0.0020598230696507874,0.03452380952380953,-0.015476190476190466,0.2,0.4
long_factual_qa,4,4,5,0.9865516896661312,0.0026185823768993984,0.08404761904761907,-0.04595238095238097,0.2,0.6
long_factual_qa,5,5,5,0.9874681557971432,0.0022926775741091763,0.06500000000000002,-0.06500000000000002,0.0,0.4
math_reasoning,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,5,0.952813914578858,0.0009875371632166445,0.33333333333333337,-0.33333333333333337,0.0,0.6
math_reasoning,2,2,5,0.940863277778471,0.005888316107473866,0.3333333333333333,-0.2,0.2,0.6
math_reasoning,3,3,5,0.9284286652537598,0.03270248477943399,0.4666666666666667,-0.33333333333333337,0.2,0.8
math_reasoning,4,4,5,0.9374571130055367,0.014363351477693081,0.4,-0.26666666666666666,0.2,0.8
math_reasoning,5,5,5,0.9345693857143929,0.014742737739064291,0.33333333333333337,-0.33333333333333337,0.0,0.6
