scope_type,scope_value,n,drift_measure,correction_status,sampling_design,correctness_target,comparison_role,pearson,spearman,spearman_ci95_low,spearman_ci95_high,spearman_permutation_p_two_sided
overall,all,150,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.32777441420073555,0.3464885915297296,0.18757246478669282,0.502882841687821,0.000999000999000999
overall,all,150,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.2976105339847969,0.37526286706081313,0.2429943557267547,0.5000977693321412,0.000999000999000999
overall,all,150,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.2665391601566448,0.33168305493253497,0.18810479473152994,0.4626919314647022,0.000999000999000999
overall,all,150,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.29840900582853985,0.3341923283343775,0.1995521269823119,0.45467814364970227,0.000999000999000999
task,code_generation,50,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.7469902591247614,0.514900085367457,0.18010966026433314,0.7318556015892832,0.001998001998001998
task,code_generation,50,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.6480820644182876,0.4867150746384617,0.21463330022330784,0.6837185873662415,0.000999000999000999
task,code_generation,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.5784749499042819,0.45962610101224505,0.21658552866615585,0.6510378735088843,0.000999000999000999
task,code_generation,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.6121844665684415,0.5349673685722155,0.29161707600560943,0.7130311121214773,0.000999000999000999
task,factual_qa,50,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.005833340040676487,0.2240208418485493,-0.16221052597064223,0.5354870186064806,0.16683316683316685
task,factual_qa,50,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.12206063120777935,0.5447376130452571,0.3339839418064405,0.702800486424544,0.000999000999000999
task,factual_qa,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.06622623939815452,0.2931021098798476,-0.05885167785411475,0.5524844169084071,0.03896103896103896
task,factual_qa,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.18425350913359823,0.4153384539408601,0.23222150728514268,0.594246517395959,0.000999000999000999
task,math_reasoning,50,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,-0.05986301187198885,0.23155583481000766,-0.04432065251472918,0.5070280668476652,0.0969030969030969
task,math_reasoning,50,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,-0.3402169737517029,-0.23830567338568368,-0.5081309966917775,0.0341116373690872,0.0979020979020979
task,math_reasoning,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,-0.30284366376198496,-0.25655337462324257,-0.49953011580726986,0.016134424328769152,0.060939060939060936
task,math_reasoning,50,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,-0.2498502417388745,-0.3395498750508662,-0.5517864346846725,-0.07792269403318224,0.011988011988011988
perturbation,context_injection,30,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.6558194189526315,0.46741874834274716,0.05511601086550424,0.7758714935236225,0.00999000999000999
perturbation,context_injection,30,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.45752159227526595,0.48780584740337846,0.18178203704692691,0.7435501480000661,0.006993006993006993
perturbation,context_injection,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.4086262283885358,0.25223189191322004,-0.10090993882951871,0.592988655234703,0.16883116883116883
perturbation,context_injection,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.43548457173697297,0.34886079452322416,0.04545890998709238,0.6180690057498357,0.054945054945054944
perturbation,formatting,30,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.576780932633078,0.22052374314304993,-0.21328171672823729,0.6054086522437212,0.23876123876123875
perturbation,formatting,30,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.5833240579870806,0.534273157525034,0.24448205775515758,0.768395918489147,0.003996003996003996
perturbation,formatting,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.5207331648762012,0.4025051961587949,0.08095776769983515,0.6763931731002534,0.024975024975024976
perturbation,formatting,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.5015520683046811,0.4639468038162354,0.20222113391933833,0.6870661099443247,0.00999000999000999
perturbation,paraphrase,30,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.11948894567540416,0.11167375536407316,-0.23271021044897647,0.47109868215064715,0.5824175824175825
perturbation,paraphrase,30,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.09914152344985763,0.29702961712209014,-0.042639192032229094,0.6009506847340957,0.11688311688311688
perturbation,paraphrase,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.0846483642130375,0.22132320627214397,-0.12187808499834103,0.5303022640602093,0.25274725274725274
perturbation,paraphrase,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.12863761888925676,0.27223088517129096,-0.04947878008153164,0.5477659655070328,0.15884115884115885
perturbation,reordering,30,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.6127981041060985,0.27079891054148547,-0.19478629999303274,0.6549824551542122,0.14385614385614387
perturbation,reordering,30,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.23105097325809448,0.44459816446117306,0.19682276730712744,0.6790572950021463,0.013986013986013986
perturbation,reordering,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.27875728974011765,0.47895268750714337,0.21871034367881279,0.7055839976110074,0.008991008991008992
perturbation,reordering,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.3262189178391765,0.2708414398894154,0.21849918150110492,0.5240303395828743,0.0989010989010989
perturbation,surface_noise,30,noise_corrected_drift,sample_noise_corrected,repeated_3x3,abs_repeated_pass_rate_change,primary_rq2_measure,0.4359581309277316,0.608060806365912,0.24505993493788164,0.8764017886776211,0.000999000999000999
perturbation,surface_noise,30,raw_perturbation_drift,uncorrected_raw_cross_drift,repeated_3x3,abs_repeated_pass_rate_change,same_target_uncorrected_baseline,0.06721263493276732,0.2107721425507054,-0.084652910603397,0.4825493868743051,0.25674325674325676
perturbation,surface_noise,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_repeated_pass_rate_change,single_pair_to_repeated_target_baseline,0.04775986538650578,0.28377514295175765,0.01933962058500491,0.5522016532639057,0.11388611388611389
perturbation,surface_noise,30,uncorrected_single_drift,uncorrected_single_pair,single_pair,abs_single_pass_rate_change,single_pair_internal_baseline,0.18641761547046865,0.2609993388025125,-0.05823978804485608,0.542120768595237,0.16583416583416583
