task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,2,24,0.9534120285843548,0.0053950380952460415,0.09166666666666667,0.008333333333333337,0.08333333333333333,0.25
code_generation,2,4,24,0.954065499994037,0.008560896204949518,0.1,0.05,0.16666666666666666,0.25
code_generation,3,8,24,0.9361210655966423,0.018697016606073247,0.15833333333333333,-0.125,0.08333333333333333,0.375
code_generation,4,16,24,0.9389889449633888,0.021795563308387042,0.14166666666666666,-0.10833333333333334,0.08333333333333333,0.375
factual_qa,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,2,24,0.9859872371871802,0.0001279985462791651,0.0,0.0,0.0,0.0
factual_qa,2,4,24,0.9734350590789977,0.012787925075678679,0.0,0.0,0.0,0.0
factual_qa,3,8,24,0.9771927965982147,0.012286648934358617,0.0,0.0,0.0,0.0
factual_qa,4,16,24,0.9739306238619926,0.01161360881241668,0.0,0.0,0.0,0.0
long_factual_qa,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,2,24,0.9791982356949226,0.0041967000087268155,0.02243055555555555,0.0017824074074073947,0.3333333333333333,0.5833333333333334
long_factual_qa,2,4,24,0.9771073542608468,0.0056445967745421995,0.026593915343915354,0.004649470899470894,0.25,0.5833333333333334
long_factual_qa,3,8,24,0.9809864923659265,0.0017887923389675224,0.02782407407407408,-0.007175925925925933,0.25,0.5833333333333334
long_factual_qa,4,16,24,0.9772493541075422,0.005653607402520466,0.030462962962962966,-0.008703703703703708,0.16666666666666666,0.5416666666666666
math_reasoning,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,2,24,0.9478491158515385,0.0014680114699686152,0.11666666666666667,0.01666666666666666,0.2916666666666667,0.4166666666666667
math_reasoning,2,4,24,0.9474464529181299,0.005328241585680212,0.075,0.008333333333333333,0.16666666666666666,0.2916666666666667
math_reasoning,3,8,24,0.9424619362991064,0.007495355171736375,0.14166666666666666,0.10833333333333334,0.3333333333333333,0.4166666666666667
math_reasoning,4,16,24,0.9455129977943135,0.003802048310359604,0.15833333333333333,0.10833333333333334,0.375,0.5
