base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,1,2,0.03861390384075332,0.03861390384075332,0.03861390384075332,0.030891123072602653,0.0,0.9691088769273973,0.9613860961592466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,2,4,0.03861390384075332,0.04133819554281013,0.03997604969178173,0.03748829362239231,0.0,0.9625117063776076,0.9600239503082183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,3,8,0.03861390384075332,0.04022858031108907,0.039421242075921195,0.05692982068853758,0.017508578612616385,0.9430701793114624,0.9444992171232772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,4,16,0.03861390384075332,0.0579192891781507,0.04826659650945201,0.04247504731448802,0.0,0.957524952685512,0.9420808214989413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,1,2,0.007705175869435366,0.010027298239666716,0.00886623705455104,0.009253903881402575,0.0003876668268515352,0.9907460961185974,0.9922469512958579,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,2,4,0.007705175869435366,0.007257443176852863,0.007481309523144114,0.008156027421200522,0.0006747178980564079,0.9918439725787995,0.9909515289281042,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,3,8,0.007705175869435366,0.010532377980091634,0.0091187769247635,0.014578776745667068,0.0054599998209035674,0.9854212232543329,0.9849250859992081,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,4,16,0.007705175869435366,0.010016938012565323,0.008861056941000344,0.010772683380579058,0.0019116264395787133,0.989227316619421,0.9894155584232512,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
