task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,2,10,0.9647618589146197,0.01148510097202287,0.06,0.020000000000000007,0.1,0.2
code_generation,2,4,10,0.9826553329750489,0.00010541047242617726,0.019999999999999997,-0.019999999999999997,0.0,0.1
code_generation,3,8,10,0.9597615471434068,0.02002714539304495,0.019999999999999997,-0.019999999999999997,0.0,0.1
code_generation,4,16,10,0.9686836193910823,0.011765191208940061,0.019999999999999997,-0.019999999999999997,0.0,0.1
factual_qa,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,2,10,0.9898915840637541,4.235792018136841e-08,0.0,0.0,0.0,0.0
factual_qa,2,4,10,0.9847420671657308,0.0037836398782127908,0.0,0.0,0.0,0.0
factual_qa,3,8,10,0.9884298327061156,0.006756622380175675,0.0,0.0,0.0,0.0
factual_qa,4,16,10,0.9746602859158702,0.014849957958872126,0.0,0.0,0.0,0.0
long_factual_qa,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,2,10,0.9862079149399653,0.0014000448195376157,0.046238095238095245,-0.017095238095238108,0.3,0.8
long_factual_qa,2,4,10,0.9823745065214341,0.0015576952407196237,0.042595238095238096,0.018547619047619045,0.5,0.8
long_factual_qa,3,8,10,0.9853778845010916,0.0010955320501369258,0.05733333333333333,-0.0036190476190476216,0.3,0.8
long_factual_qa,4,16,10,0.9674934248624363,0.007380712977841788,0.07501587301587304,0.001555555555555538,0.3,0.8
math_reasoning,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,2,10,0.9535595152200111,0.0007879685834034217,0.1,0.02000000000000001,0.2,0.3
math_reasoning,2,4,10,0.9536286461177738,0.0005417517624821576,0.1,-0.019999999999999997,0.1,0.3
math_reasoning,3,8,10,0.954356822078638,0.0017979692585883029,0.12000000000000001,0.040000000000000015,0.3,0.5
math_reasoning,4,16,10,0.9561447306861759,0.0024785279665159817,0.08,5.551115123125783e-18,0.1,0.3
