base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_humaneval_03,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,surface_noise,1,2,2.613155170250181e-07,0.0,1.3065775851250904e-07,2.613155170250181e-07,1.3065775851250904e-07,0.999999738684483,0.999999738684483,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,surface_noise,2,4,2.613155170250181e-07,1.742103446833454e-07,2.1776293085418175e-07,1.9163137915167994e-07,0.0,0.9999998083686209,0.999999738684483,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,surface_noise,3,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,surface_noise,4,16,0.0,0.06445814468689774,0.03222907234344887,0.03222907234344887,0.0,0.9677709276565511,0.9677709276565511,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_08,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_08,code_generation,HumanEval,surface_noise,1,2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_08,code_generation,HumanEval,surface_noise,2,4,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_08,code_generation,HumanEval,surface_noise,3,8,1.1102230246251565e-16,2.782346677276948e-07,1.3911733391935855e-07,1.3911733391935855e-07,0.0,0.9999998608826661,0.9999998608826661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_08,code_generation,HumanEval,surface_noise,4,16,1.1102230246251565e-16,2.835845142934446e-07,1.4179225720223344e-07,1.4179225720223344e-07,0.0,0.9999998582077428,0.9999998582077428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_13,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_13,code_generation,HumanEval,surface_noise,1,2,0.06307052300127054,0.09755903428779636,0.08031477864453346,0.07076138874487568,0.0,0.9292386112551243,0.9655979999298913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_13,code_generation,HumanEval,surface_noise,2,4,0.06306969271914724,0.06306969271914724,0.06306969271914724,0.050455754175317793,0.0,0.9495442458246822,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_13,code_generation,HumanEval,surface_noise,3,8,0.06307464502462079,0.06452460398648122,0.063799624505551,0.12544576207825317,0.06164613757270217,0.8745542379217468,0.8833381398059424,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.8,0.8,0.0,0,1
rq2_dose_humaneval_13,code_generation,HumanEval,surface_noise,4,16,0.06306969271914724,0.09678690597972181,0.07992829934943452,0.10196972646625935,0.02204142711682483,0.8980302735337407,0.8716782476607046,0.0,1.0,-1.0,1.0,0.0,0.0,0.6,-0.6,0.6,0.0,0,1
rq2_dose_humaneval_18,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_18,code_generation,HumanEval,surface_noise,1,2,0.024148117131731383,0.03864000949503863,0.031394063313385005,0.030083161921027637,0.0,0.9699168380789723,0.9658721366212989,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_18,code_generation,HumanEval,surface_noise,2,4,0.024157898077982742,0.04373686693356642,0.03394738250577458,0.040094241174928345,0.006146858669153765,0.9599057588250717,0.9555642440858542,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_18,code_generation,HumanEval,surface_noise,3,8,0.024148117131731383,0.04458646173807844,0.03436728943490491,0.04303406009887193,0.008666770663967018,0.9569659399011281,0.9592081999829938,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_18,code_generation,HumanEval,surface_noise,4,16,0.024148117131731383,0.03641632395842722,0.0302822205450793,0.032681765424747725,0.002399544879668425,0.9673182345752522,0.9642442597324695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_23,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_23,code_generation,HumanEval,surface_noise,1,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_23,code_generation,HumanEval,surface_noise,2,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_23,code_generation,HumanEval,surface_noise,3,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_23,code_generation,HumanEval,surface_noise,4,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_28,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0,0
rq2_dose_humaneval_28,code_generation,HumanEval,surface_noise,1,2,0.15136879017318272,0.002133748429631388,0.07675126930140705,0.1549670030656294,0.07821573376422236,0.8450329969343706,0.8475643356120016,0.0,1.0,-1.0,1.0,0.0,0.4,1.0,-0.6,0.6,-1.4999999999999998,0,1
rq2_dose_humaneval_28,code_generation,HumanEval,surface_noise,2,4,0.15136879017318272,0.002133748429631388,0.07675126930140705,0.1549670030656294,0.07821573376422236,0.8450329969343706,0.8433454378159498,0.0,1.0,-1.0,1.0,0.0,0.4,1.0,-0.6,0.6,-1.4999999999999998,0,1
rq2_dose_humaneval_28,code_generation,HumanEval,surface_noise,3,8,0.15136879017318272,0.002133748429631388,0.07675126930140705,0.1549670030656294,0.07821573376422236,0.8450329969343706,0.8475643356120016,0.0,1.0,-1.0,1.0,0.0,0.4,1.0,-0.6,0.6,-1.4999999999999998,0,1
rq2_dose_humaneval_28,code_generation,HumanEval,surface_noise,4,16,0.15136879017318272,2.680162966339772e-07,0.07568452909473967,0.1513402926408454,0.07565576354610572,0.8486597073591546,0.8486469226708729,0.0,1.0,-1.0,1.0,0.0,0.4,1.0,-0.6,0.6,-1.4999999999999998,0,1
rq2_dose_humaneval_33,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0,0
rq2_dose_humaneval_33,code_generation,HumanEval,surface_noise,1,2,0.15591841856376645,0.0922331790487684,0.12407579880626743,0.12280078560218481,0.0,0.8771992143978152,0.8931133355146955,1.0,1.0,0.0,0.0,0.0,0.4,0.6,-0.19999999999999996,0.19999999999999996,-0.4999999999999999,0,1
rq2_dose_humaneval_33,code_generation,HumanEval,surface_noise,2,4,0.15591841856376645,0.2311863970973328,0.1935524078305496,0.17116941146953085,0.0,0.8288305885304692,0.8108302126835041,1.0,0.0,1.0,1.0,1.0,0.4,0.2,0.2,0.2,0.5,1,1
rq2_dose_humaneval_33,code_generation,HumanEval,surface_noise,3,8,0.15593741969386923,0.16897282764251276,0.16245512366819098,0.21338938041803943,0.050934256749848444,0.7866106195819605,0.7935250819219917,1.0,0.0,1.0,1.0,1.0,0.4,0.0,0.4,0.4,1.0,1,1
rq2_dose_humaneval_33,code_generation,HumanEval,surface_noise,4,16,0.15591841856376645,0.2058514461007497,0.18088493233225808,0.21070685943318407,0.029821927100925988,0.789293140566816,0.7760894329136143,1.0,0.0,1.0,1.0,1.0,0.4,0.0,0.4,0.4,1.0,1,1
rq2_dose_humaneval_38,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_38,code_generation,HumanEval,surface_noise,1,2,0.005783864560127539,0.00020615467596165615,0.0029950096180445976,0.0048134265250483164,0.0018184169070037189,0.9951865734749517,0.9952023005300875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
