task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,2,0.97930789800785,0.0,0.0,0.0,0.0,0.0
code_generation,2,2,2,0.9783794486329276,0.0,0.0,0.0,0.0,0.0
code_generation,3,4,2,0.9778966485719158,0.0,0.0,0.0,0.0,0.0
code_generation,4,8,2,0.9732335565646169,0.0,0.0,0.0,0.0,0.0
factual_qa,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,1,2,0.9828074117113879,7.292110256441886e-06,0.16666666666666666,0.16666666666666666,0.5,0.5
factual_qa,2,2,2,0.9828147038216442,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5
factual_qa,3,4,2,0.9828146058497861,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5
factual_qa,4,8,2,0.9828076541956339,7.049626010315058e-06,0.16666666666666666,0.16666666666666666,0.5,0.5
math_reasoning,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,2,0.9754998527501901,0.0006784477178707095,0.16666666666666669,0.16666666666666669,0.5,0.5
math_reasoning,2,2,2,0.9748401867755828,0.0003017568133212821,0.0,0.0,0.0,0.0
math_reasoning,3,4,2,0.9575874816830563,0.008659135982674069,0.33333333333333337,0.33333333333333337,1.0,1.0
math_reasoning,4,8,2,0.9560621955785795,0.010669955179830968,0.16666666666666666,0.16666666666666666,0.5,0.5
