base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,1,1,0.06435650640125552,0.0,0.03217825320062776,0.03217825320062776,0.0,0.9678217467993723,0.9678217467993723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,2,2,0.06435650640125552,0.0,0.03217825320062776,0.03217825320062776,0.0,0.9678217467993723,0.9678217467993723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,3,4,0.06435650640125552,0.0,0.03217825320062776,0.03217825320062776,0.0,0.9678217467993723,0.9678217467993723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,surface_noise,4,8,0.06435650640125552,0.06435650640125552,0.06435650640125552,0.04290433760083702,0.0,0.957095662399163,0.9356434935987444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,1,1,0.013595132118080685,0.009903433192764433,0.01174928265542256,0.00920595078367222,0.0,0.9907940492163277,0.9955823720246125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,2,2,0.013627396427917216,0.013552973174513983,0.013590184801215599,0.011062849533517228,0.0,0.9889371504664828,0.9855623940428434,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,3,4,0.013595132118080685,0.012242109984213009,0.012918621051146847,0.01202844965554068,0.0,0.9879715503444593,0.9815248949827282,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,surface_noise,4,8,0.013627396427917216,0.01129248645839546,0.012459941443156337,0.010628549269929202,0.0,0.9893714507300708,0.9867601424290764,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_01,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_01,factual_qa,SQuAD V2,surface_noise,1,1,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07,0.9999995150315077,0.9999995150315077,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_01,factual_qa,SQuAD V2,surface_noise,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_01,factual_qa,SQuAD V2,surface_noise,3,4,0.0,3.918874325048449e-07,1.9594371625242246e-07,1.9594371625242246e-07,0.0,0.9999998040562837,0.9999998040562837,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_01,factual_qa,SQuAD V2,surface_noise,4,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_squad_02,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_squad_02,factual_qa,SQuAD V2,surface_noise,1,1,0.0687411847134231,0.0,0.03437059235671155,0.03438469160873218,1.4099252020630115e-05,0.9656153083912679,0.9656153083912679,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
