task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,5,0.9802485082263925,0.0,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,2,2,5,0.9752265208646043,0.0,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,3,4,5,0.9632184986696609,0.00031582434256230695,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,4,8,5,0.9566419042017299,0.009094307785559875,0.06666666666666668,-0.06666666666666668,0.0,0.2
factual_qa,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,1,5,0.9980550745155703,9.699369845073136e-08,0.0,0.0,0.0,0.0
factual_qa,2,2,5,0.9999954434234601,4.556576539860302e-06,0.0,0.0,0.0,0.0
factual_qa,3,4,5,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,4,8,5,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,5,0.933912241727692,0.0038890714497851406,0.33333333333333337,-0.06666666666666668,0.2,0.6
math_reasoning,2,2,5,0.9411644530322446,0.0023004055914073707,0.2,-0.06666666666666667,0.2,0.6
math_reasoning,3,4,5,0.93349058963315,0.004046951159225003,0.13333333333333333,1.1102230246251566e-17,0.2,0.4
math_reasoning,4,8,5,0.9352848284220815,0.008148280093999812,0.4,0.0,0.2,0.8
