task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,paraphrase,SQuAD V2,10,0.06967293042303571,0.034907507790613315,0.09601227001394289,0.06110718899430796
factual_qa,reordering,SQuAD V2,10,0.04764562267738011,0.017905402849846545,0.01723093188827482,3.641569790158172e-08
factual_qa,formatting,SQuAD V2,10,7.071035642569612e-08,0.019024182024592627,0.03153567642693047,0.013860509156877091
factual_qa,context_injection,SQuAD V2,10,0.017119947343348086,0.026296800057541397,0.03869808758606901,0.015029685395761688
factual_qa,surface_noise,SQuAD V2,10,0.03128298490125109,0.02531254299569424,0.03506617186098942,0.00975379982480836
math_reasoning,paraphrase,MATH,10,0.03745110449975825,0.04417883466315716,0.04645759755649895,0.004534771425409882
math_reasoning,reordering,MATH,10,0.06811777155775753,0.05464515736773832,0.05434863550863254,0.0025475853605167785
math_reasoning,formatting,MATH,10,0.05659301384471397,0.04700496431592965,0.050942817138920155,0.006912037174289288
math_reasoning,context_injection,MATH,10,0.06554960420429741,0.05261489280993815,0.056109033905331,0.005233014255740007
math_reasoning,surface_noise,MATH,10,0.06375622066325606,0.05122826450347595,0.0616424776009637,0.011120774763495165
code_generation,paraphrase,HumanEval,10,0.05427657706094095,0.031306543608593036,0.04852331560634565,0.0197893129780003
code_generation,reordering,HumanEval,10,0.06231206063062761,0.03682713656246434,0.055071453688933625,0.02083844253380303
code_generation,formatting,HumanEval,10,0.03600734225806719,0.031319951753693676,0.055224953460149225,0.029402330814540193
code_generation,context_injection,HumanEval,10,0.018682148842639835,0.027240162759922977,0.03899317317076212,0.016114142667433096
code_generation,surface_noise,HumanEval,10,0.053771050294274966,0.036040862280150084,0.06050751477313203,0.028764274210482808
open_ended_writing,paraphrase,Alpaca,10,0.12067253003528268,0.1261556048784261,0.12779612136144736,0.013782257778120005
open_ended_writing,reordering,Alpaca,10,0.10920688080316825,0.10358978180616094,0.11519784377235814,0.01801044239469366
open_ended_writing,formatting,Alpaca,10,0.13691318631169636,0.10171034285873916,0.15688796568046487,0.05880936289594162
open_ended_writing,context_injection,Alpaca,10,0.14817106705438196,0.1220256823607096,0.13313110329053682,0.020867228229854755
open_ended_writing,surface_noise,Alpaca,10,0.143414708436708,0.10253373670541187,0.11835808115791409,0.026548439560861777
